"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"1",0,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,"audio_features","4u7EnebtmKWzUH433cf5Qv","spotify:track:4u7EnebtmKWzUH433cf5Qv","https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv","https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv",354320,4
"2",1,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,"audio_features","5vdp5UmvTsnMEMESIF2Ym7","spotify:track:5vdp5UmvTsnMEMESIF2Ym7","https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7","https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7",214653,4
"3",2,0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,"audio_features","5T8EDUDqKcs6OSOwEsfqG7","spotify:track:5T8EDUDqKcs6OSOwEsfqG7","https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7","https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7",209413,4
"4",3,0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,"audio_features","2fuCquhmrzHpu5xcA1ci9x","spotify:track:2fuCquhmrzHpu5xcA1ci9x","https://api.spotify.com/v1/tracks/2fuCquhmrzHpu5xcA1ci9x","https://api.spotify.com/v1/audio-analysis/2fuCquhmrzHpu5xcA1ci9x",248440,4
"5",4,0.692,0.497,2,-7.316,1,0.119,0.676,0,0.259,0.475,81.308,"audio_features","4pbJqGIASGPr0ZpGpnWkDn","spotify:track:4pbJqGIASGPr0ZpGpnWkDn","https://api.spotify.com/v1/tracks/4pbJqGIASGPr0ZpGpnWkDn","https://api.spotify.com/v1/audio-analysis/4pbJqGIASGPr0ZpGpnWkDn",122067,4
"6",5,0.599,0.761,0,-6.887,1,0.0421,0.713,4.74e-06,0.349,0.712,77.015,"audio_features","6xdLJrVj4vIXwhuG8TMopk","spotify:track:6xdLJrVj4vIXwhuG8TMopk","https://api.spotify.com/v1/tracks/6xdLJrVj4vIXwhuG8TMopk","https://api.spotify.com/v1/audio-analysis/6xdLJrVj4vIXwhuG8TMopk",163373,4
"7",6,0.744,0.502,5,-7.719,1,0.0359,0.183,0.000228,0.189,0.66,112.344,"audio_features","1nQRg9q9uwALGzouOX5OyQ","spotify:track:1nQRg9q9uwALGzouOX5OyQ","https://api.spotify.com/v1/tracks/1nQRg9q9uwALGzouOX5OyQ","https://api.spotify.com/v1/audio-analysis/1nQRg9q9uwALGzouOX5OyQ",348227,4
"8",7,0.795,0.435,4,-8.927,1,0.0324,0.0841,0.00026,0.0763,0.596,108.95,"audio_features","2AkmdLbVKS1steeZdy8H1l","spotify:track:2AkmdLbVKS1steeZdy8H1l","https://api.spotify.com/v1/tracks/2AkmdLbVKS1steeZdy8H1l","https://api.spotify.com/v1/audio-analysis/2AkmdLbVKS1steeZdy8H1l",258013,4
"9",8,0.268,0.459,10,-6.94,1,0.0346,0.378,0,0.118,0.175,64.177,"audio_features","1lCRw5FEZ1gPDNPzy1K4zW","spotify:track:1lCRw5FEZ1gPDNPzy1K4zW","https://api.spotify.com/v1/tracks/1lCRw5FEZ1gPDNPzy1K4zW","https://api.spotify.com/v1/audio-analysis/1lCRw5FEZ1gPDNPzy1K4zW",179200,4
"10",9,0.406,0.698,8,-7.024,1,0.0624,0.186,0,0.233,0.333,109.266,"audio_features","4rDbp1vnvEhieiccprPMdI","spotify:track:4rDbp1vnvEhieiccprPMdI","https://api.spotify.com/v1/tracks/4rDbp1vnvEhieiccprPMdI","https://api.spotify.com/v1/audio-analysis/4rDbp1vnvEhieiccprPMdI",296480,3
"11",10,0.329,0.179,5,-11.589,1,0.0299,0.933,5.04e-06,0.115,0.255,154.175,"audio_features","4YJUTdZ0Pgl0ZeNyHYXeLd","spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd","https://api.spotify.com/v1/tracks/4YJUTdZ0Pgl0ZeNyHYXeLd","https://api.spotify.com/v1/audio-analysis/4YJUTdZ0Pgl0ZeNyHYXeLd",217387,4
"12",11,0.535,0.651,10,-6.326,1,0.0544,0.391,0,0.133,0.612,117.218,"audio_features","4cIPLtg1avt2Jm3ne9S1zy","spotify:track:4cIPLtg1avt2Jm3ne9S1zy","https://api.spotify.com/v1/tracks/4cIPLtg1avt2Jm3ne9S1zy","https://api.spotify.com/v1/audio-analysis/4cIPLtg1avt2Jm3ne9S1zy",179600,4
